,Technology,Dataset,Sample,Method,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure,Time,Memory,PAS,CHAOS,ASW,Level,Organ
2469,MERFISH,Hypothalamus,Animal1_Bregma0.06,stLearn,0.529738391380129,0.6562603122935764,0.6127247677854157,0.8254164327157028,0.68825524829051,0.6271313051709871,0.6562603122935764,1.5733294010162353,23.73261413574219,0.6324162455549317,0.05567860575166156,-0.12654485261346243,celltype,Brain
2470,MERFISH,Hypothalamus,Animal1_Bregma0.11,BASS,0.6278339602694097,0.7429756655909063,0.6997349630962649,0.9140039447731756,0.8001822115431005,0.6934029703771817,0.7429756655909063,822.471734046936,1508.8799999999999,0.5911242603550296,0.06038701681179019,-0.1184721762499712,celltype,Brain
2471,MERFISH,Hypothalamus,Animal1_Bregma0.11,Banksy,0.5042862419331299,0.6307004185978664,0.6150027534978941,0.7287968441814595,0.6364181598570532,0.6250845017812942,0.6307004185978663,9.654041385650634,82.71572513580323,0.5617357001972386,0.06023483192690691,-0.0930041239008442,celltype,Brain
2472,MERFISH,Hypothalamus,Animal1_Bregma0.11,CCST,0.13813175955442106,0.19587998830795408,0.2906249457117194,0.5279289940828402,0.210050526303956,0.18352808822079802,0.19587998830795408,425.28239741325376,1686.1226745605468,0.13029585798816562,0.03195851126872916,-0.08213141238149833,celltype,Brain
2473,MERFISH,Hypothalamus,Animal1_Bregma0.11,CellCharter,0.4050859260018109,0.5093545946223511,0.5197927829267341,0.7598027613412228,0.534804326894949,0.48666862839605385,0.5093545946223511,8.062021780014039,82.71005973815917,0.47842209072978303,0.0498256360183773,-0.14852717086016753,celltype,Brain
2474,MERFISH,Hypothalamus,Animal1_Bregma0.11,DeepST,0.3513402870009276,0.47142981002917816,0.5385730846062362,0.687534516765286,0.4292184719479886,0.5236122858410364,0.47142981002917816,244.0490090370178,601.2111097335816,0.2656015779092702,0.04453308407766634,-0.20215968702376866,celltype,Brain
2475,MERFISH,Hypothalamus,Animal1_Bregma0.11,GraphST,0.1282081517282113,0.1896623271820241,0.2816726647858571,0.5374753451676528,0.2043403590368711,0.1769516608826881,0.1896623271820241,15.049382495880128,809.7424285888671,0.1325443786982248,0.0317092105366703,-0.0296791410997031,celltype,Brain
2476,MERFISH,Hypothalamus,Animal1_Bregma0.11,PRECAST,0.5428099454787243,0.6576480001581968,0.629265452227842,0.8686390532544379,0.7219558849924596,0.6038594962506888,0.6576480001581967,27.542718029022218,151.44,0.693491124260355,0.060105198762288,-0.1553881271979243,celltype,Brain
2477,MERFISH,Hypothalamus,Animal1_Bregma0.11,SEDR,0.43966802140133565,0.5536039253843782,0.5460933163442244,0.7715581854043393,0.5851237126230069,0.5257598978565927,0.5536039253843782,22.643813800811767,601.3567859649659,0.4753846153846154,0.048465088096816177,-0.13671128765540758,celltype,Brain
2478,MERFISH,Hypothalamus,Animal1_Bregma0.11,STAGATE,0.17034371690878458,0.23357325540818036,0.32137085649545205,0.5523865877712032,0.24803084341538145,0.22071493736016484,0.23357325540818036,37.44840760231018,302.9873809814453,0.16145956607495066,0.03438195076051464,-0.04090191424317632,celltype,Brain
2479,MERFISH,Hypothalamus,Animal1_Bregma0.11,SpaGCN,0.4950339096870005,0.5734456395552038,0.5878782673040859,0.8224852071005916,0.6076175637057537,0.5429126668747111,0.5734456395552038,10.568472337722778,504.31075420379636,0.580473372781065,0.0535529710422565,-0.1279188628062002,celltype,Brain
2480,MERFISH,Hypothalamus,Animal1_Bregma0.11,SpaceFlow,0.12687830600351507,0.165793140139849,0.26989939664280893,0.5200788954635108,0.18259345465151552,0.15182492789398022,0.165793140139849,56.14274368286133,332.80651054382326,0.061420118343195204,0.03085409710399114,0.03680786596567488,celltype,Brain
2481,MERFISH,Hypothalamus,Animal1_Bregma0.11,SpatialMGCN,0.5315572112037817,0.6635870836849505,0.6247201511432593,0.8516765285996055,0.6877451007494385,0.6410686430568748,0.6635870836849506,40.51150760650635,406.93947887420654,0.5670611439842209,0.058375393944485696,-0.1949273349042333,celltype,Brain
2482,MERFISH,Hypothalamus,Animal1_Bregma0.11,stLearn,0.6129344408179478,0.7177045229687706,0.6874098915530638,0.9042603550295858,0.7759847902554349,0.667643869937844,0.7177045229687706,1.3326456546783447,22.533035469055175,0.6468639053254438,0.06170317676887116,-0.1164886749108897,celltype,Brain
