,Technology,Dataset,Sample,Method,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure,Time,Memory,PAS,CHAOS,ASW,Level
59,STARmap,Mouse Medial Prefrontal Cortex,BZ9,SEDR,0.242911187,0.366957801,0.318839312,0.494396961,0.367444268,0.366544926,0.366957801,11.36011691,28.31747456,0.232478632,0.084672616,-0.058455759,celltype
60,STARmap,Mouse Medial Prefrontal Cortex,BZ9,STAGATE,0.270664956,0.361914929,0.344484081,0.497625831,0.357505893,0.366439164,0.361914929,11.11123838,20.14743252,0.182905983,0.093996524,-0.207432562,celltype
61,STARmap,Mouse Medial Prefrontal Cortex,BZ9,SpaGCN,0.354257413,0.472941863,0.418222745,0.557454891,0.465427227,0.480703139,0.472941863,19.10489659,31.70368137,0.621082621,0.130472256,-0.185425642,celltype
62,STARmap,Mouse Medial Prefrontal Cortex,BZ9,SpaceFlow,0.171272095,0.290639839,0.244823851,0.417094017,0.299769163,0.282051538,0.290639839,11.36465597,34.89273663,0.144729345,0.079556121,-0.001670338,celltype
63,STARmap,Mouse Medial Prefrontal Cortex,BZ9,SpatialMGCN,0.304250508,0.451110066,0.445704415,0.521367521,0.38040266,0.554104292,0.451110066,16.60425401,31.74476051,0.32288699,0.110593727,-0.359193933,celltype
64,STARmap,Mouse Medial Prefrontal Cortex,BZ9,stLearn,0.406611793,0.525718745,0.463079578,0.600569801,0.532852342,0.518796184,0.525718745,1.445399237,4.253626633,0.747578348,0.160865804,-0.134553956,celltype
65,STARmap,Mouse Medial Prefrontal Cortex,BZ9,BASS,0.564045021,0.544426491,0.707378242,0.795821462,0.580298378,0.512731346,0.544426491,505.1758581,480.62,0.078822412,0.076124563,0.089398251,domain
66,STARmap,Mouse Medial Prefrontal Cortex,BZ9,Banksy,0.456110368,0.538889597,0.632637151,0.811965812,0.572086549,0.509334038,0.538889597,5.213532591,17.15120068,0.035137702,0.073308203,0.159355122,domain
67,STARmap,Mouse Medial Prefrontal Cortex,BZ9,CCST,0.548677895,0.567214655,0.704564647,0.811016144,0.577477648,0.562429301,0.567214655,84.05660138,77.12839336,0.054131054,0.077891931,0.168813011,domain
68,STARmap,Mouse Medial Prefrontal Cortex,BZ9,CellCharter,0.487053825,0.536669937,0.652400768,0.77359924,0.576944813,0.501658298,0.536669937,101.7252106,11.86789894,0.074264008,0.076162773,0.148563833,domain
69,STARmap,Mouse Medial Prefrontal Cortex,BZ9,DeepST,0.456311036,0.466137567,0.650079205,0.758594492,0.477583971,0.457156843,0.466137567,64.20017796,35.70433064,0.114339981,0.079278307,0.059950865,domain
70,STARmap,Mouse Medial Prefrontal Cortex,BZ9,GraphST,0.621741686,0.574134217,0.753828985,0.827160494,0.586954251,0.561862233,0.574134217,9.816186237,37.49564056,0.075023742,0.074139873,0.072186286,domain
71,STARmap,Mouse Medial Prefrontal Cortex,BZ9,PRECAST,0.27080102,0.264679468,0.53457549,0.67711301,0.266235824,0.263141202,0.264679468,2.822665977,64.42,0.265906933,0.094897827,0.060179573,domain
72,STARmap,Mouse Medial Prefrontal Cortex,BZ9,SEDR,0.483568328,0.487435077,0.673387645,0.769990503,0.48304005,0.494068403,0.487435077,10.79384708,28.32719002,0.079962013,0.076742198,0.097647632,domain
73,STARmap,Mouse Medial Prefrontal Cortex,BZ9,STAGATE,0.525956144,0.497547606,0.705468827,0.765432099,0.487995549,0.507481074,0.497547606,10.28697391,20.1565239,0.058879392,0.076887263,0.13852202,domain
74,STARmap,Mouse Medial Prefrontal Cortex,BZ9,SpaGCN,0.271981384,0.32776408,0.502907803,0.675213675,0.351803904,0.30679954,0.32776408,10.54615755,30.39333611,0.307692308,0.08639444,0.0354516,domain
75,STARmap,Mouse Medial Prefrontal Cortex,BZ9,SpaceFlow,0.418411039,0.523202682,0.600431281,0.765432099,0.570968451,0.482811906,0.523202682,11.37674532,26.83641453,0.027350427,0.073757024,0.139949047,domain
