,Technology,Dataset,Sample,Method,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure,Time,Memory,Level
1341,VisiumHD,Mouse Brain,FreshFrozen_sub4,CCST,0.2813486554419365,0.4967738629626816,0.3686344229393525,0.5623982368551252,0.5316856054508137,0.466199078900684,0.4967738629626816,9589.480250120165,22332.93734779358,domain
1342,VisiumHD,Mouse Brain,FreshFrozen_sub4,CellCharter,0.1840147796278155,0.4481096530288457,0.2754159856702748,0.5384878334008005,0.5152393517194724,0.3964580055513717,0.4481096530288457,1624.9335817813874,2248.913917541504,domain
1343,VisiumHD,Mouse Brain,FreshFrozen_sub4,DeepST,0.2562445420462102,0.5026552435595237,0.3449501897184113,0.571915620923852,0.5580992082255253,0.4572510664823657,0.5026552435595237,1031.328953933716,20837.45235862732,domain
1344,VisiumHD,Mouse Brain,FreshFrozen_sub4,GraphST,0.2967151897551062,0.4891591494692652,0.382605893664788,0.5647011199568209,0.5340061955606964,0.4512612137858074,0.4891591494692652,124.62065253257752,20785.898874664308,domain
1345,VisiumHD,Mouse Brain,FreshFrozen_sub4,PRECAST,0.2731530269552935,0.5110693985739467,0.3644873052455726,0.585346107138038,0.5857538211467965,0.4532760722635591,0.5110693985739467,987.4660740375518,2666.96,domain
1346,VisiumHD,Mouse Brain,FreshFrozen_sub4,SEDR,0.2460418439048426,0.4886926618153981,0.335684517875859,0.5750730895515674,0.5492268038965543,0.4401975810270576,0.4886926618153981,182.3336349010468,14863.3167552948,domain
1347,VisiumHD,Mouse Brain,FreshFrozen_sub4,STAGATE,0.2337137567271629,0.4921466063698408,0.3243686958868682,0.5943867224396169,0.559727943973779,0.4391552852167518,0.4921466063698408,204.68701624870295,2704.100893211365,domain
1348,VisiumHD,Mouse Brain,FreshFrozen_sub4,SpaGCN,0.2815747504780872,0.5415346059825868,0.3709786668944679,0.6374848198623668,0.6080024100723654,0.4882932318013602,0.5415346059825868,554.3959842681885,11057.823275756837,domain
1349,VisiumHD,Mouse Brain,FreshFrozen_sub4,SpaceFlow,0.2126149919946984,0.4819724330770012,0.3047083638307183,0.5830252327621104,0.5533205284314098,0.4269583580593853,0.4819724330770012,260.6301217556,2412.6567111969,domain
1350,VisiumHD,Mouse Brain,FreshFrozen_sub4,SpatialMGCN,0.2646442511179974,0.5097599361310958,0.3558768960829034,0.614608914676382,0.5845754541260941,0.4519477487221081,0.5097599361310958,625.1289976596833,5601.037673187256,domain
1351,VisiumHD,Mouse Brain,FreshFrozen_sub4,stLearn,0.3715866293988381,0.6201622618653421,0.4535145464379141,0.6682498987990824,0.6802144829220336,0.569928520250928,0.6201622618653421,15.94928822517395,3697.8985855102537,domain
1352,VisiumHD,Mouse Brain,FreshFrozen_sub5,BASS,0.1508187337428136,0.3787244693813443,0.2869836224413863,0.658046111396904,0.4898278909924576,0.3087038472010538,0.3787244693813444,4971.145100021362,6212.76,domain
1353,VisiumHD,Mouse Brain,FreshFrozen_sub5,Banksy,0.1959562220264487,0.419684744539151,0.3342383878123501,0.6918112519291025,0.5269982659460218,0.3486820472612224,0.419684744539151,59.03526220321656,3819.076557731628,domain
1354,VisiumHD,Mouse Brain,FreshFrozen_sub5,CCST,0.1873119275296198,0.4087700418004747,0.3254901698183202,0.6741523640274985,0.513500777042742,0.3395448671086316,0.4087700418004747,8918.05698814392,20743.521784591678,domain
1355,VisiumHD,Mouse Brain,FreshFrozen_sub5,CellCharter,0.145853433256909,0.3508362541550983,0.2815060849002362,0.6320347939952299,0.4591970108180493,0.2838605594670108,0.3508362541550983,1413.0231084346772,1897.7566633224487,domain
1356,VisiumHD,Mouse Brain,FreshFrozen_sub5,DeepST,0.2007333381017463,0.4150740999239558,0.3390298599103215,0.68995931347332,0.5254279703866734,0.3430672705323165,0.4150740999239558,1089.9474301338196,19847.08924598694,domain
1357,VisiumHD,Mouse Brain,FreshFrozen_sub5,GraphST,0.1919193780644557,0.3844582708770535,0.3301704321846833,0.6544451199551046,0.4851875213948428,0.3183632291625189,0.3844582708770535,122.89159889221192,19187.68791770935,domain
1358,VisiumHD,Mouse Brain,FreshFrozen_sub5,PRECAST,0.2049705039138865,0.4280590619521424,0.3451649299157076,0.6909226955993079,0.5571678697773282,0.3475285748015675,0.4280590619521424,794.027575969696,2928.78,domain
1359,VisiumHD,Mouse Brain,FreshFrozen_sub5,SEDR,0.2036772402318993,0.4304060024894038,0.3429069920989321,0.7216854510592527,0.550674301968989,0.3533179078381218,0.4304060024894039,157.3565495967865,13890.36181640625,domain
1360,VisiumHD,Mouse Brain,FreshFrozen_sub5,STAGATE,0.1713679866067983,0.38587545789022,0.3089279623144211,0.6695505775616144,0.4953481231392064,0.3160406835917299,0.38587545789022,181.172926902771,2282.827597618103,domain
1361,VisiumHD,Mouse Brain,FreshFrozen_sub5,SpaGCN,0.2866211153287225,0.5141252399236682,0.4238386957536393,0.7620352616564561,0.6361690381169365,0.43142793933806,0.5141252399236682,463.6082925319672,10268.645474624636,domain
1362,VisiumHD,Mouse Brain,FreshFrozen_sub5,SpaceFlow,0.1647095230336771,0.3898889763611015,0.3017184668746083,0.6637048122340177,0.5067853967667144,0.3168765207601344,0.3898889763611015,234.84771046638488,1991.6151596069333,domain
1363,VisiumHD,Mouse Brain,FreshFrozen_sub5,SpatialMGCN,0.2100577721164925,0.4423445144737975,0.3493033672253677,0.7141935182154048,0.5667013184768562,0.3627581060849041,0.4423445144737975,488.6623487949372,5135.427260589599,domain
1364,VisiumHD,Mouse Brain,FreshFrozen_sub5,stLearn,0.2962958013138686,0.5389761246696705,0.4361667495959832,0.771463311976804,0.6760166583124734,0.4481479495701038,0.5389761246696705,13.029076290130616,3488.858377075195,domain
1365,VisiumHD,Mouse Brain,FreshFrozen_sub6,BASS,0.2246064209765447,0.4118574149439192,0.3239301296913557,0.548489666136725,0.4651278959723464,0.3695350551863107,0.4118574149439192,3653.360075902938,5487.4400000000005,domain
1366,VisiumHD,Mouse Brain,FreshFrozen_sub6,Banksy,0.3371686233913807,0.4837732050069483,0.4288225308528772,0.6052691346808994,0.5434498369642676,0.4359060378477403,0.4837732050069483,52.380432796478274,3283.474249267578,domain
