,Technology,Dataset,Sample,Method,train_sample,test_sample,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure,PAS,CHAOS,ASW,Simulation
62,scCube,sim4,sim4_2_Layer2_Layer1,GraphST,Layer2,Layer1,0.4973679914021035,0.643932229240175,0.5973860993579196,0.6906674051509277,0.6388405373260477,0.6491057369295454,0.643932229240175,0.0168928274716145,0.0604666777666922,0.0935114532548311,6 domains
63,scCube,sim4,sim4_2_Layer2_Layer1,PRECAST,Layer2,Layer1,0.4592936908202219,0.5879959854464991,0.5640674467219932,0.7089448906120188,0.5875851863649904,0.5884073593347058,0.5879959854464991,0.1176959291055109,0.0650085309301367,0.0344732172101013,6 domains
64,scCube,sim4,sim4_2_Layer2_Layer1,SEDR,Layer2,Layer1,0.6306096635986206,0.7243727776613149,0.699919247181308,0.8412074217668236,0.7344684056313768,0.7147708238486254,0.7243727776613149,0.0253115480476322,0.0605529731570681,0.0409005012143198,6 domains
65,scCube,sim4,sim4_2_Layer2_Layer1,STAGATE,Layer2,Layer1,0.6332362845531202,0.7097517724400688,0.7004698282543507,0.8519523677651619,0.7241090315316918,0.6959528283756387,0.7097517724400688,0.038161174189975,0.0611969015737195,0.0670907957168951,6 domains
66,scCube,sim4,sim4_2_Layer2_Layer1,SpaGCN,Layer2,Layer1,0.42659229568178,0.5215557861707483,0.5309341117592843,0.6784824148435337,0.5317750023548247,0.5117219334309476,0.5215557861707482,0.1924674605372473,0.0654274186907825,0.0386870509101412,6 domains
67,scCube,sim4,sim4_2_Layer2_Layer1,SpaMGCN,Layer2,Layer1,0.3951255459816669,0.5335732650614972,0.5092998487001967,0.655497092218222,0.5364888142721718,0.5306892336796549,0.5335732650614972,0.0836333425643865,0.0621959827927443,0.0390632426292278,6 domains
68,scCube,sim4,sim4_2_Layer2_Layer1,SpaceFlow,Layer2,Layer1,0.350836442051034,0.4888948430025587,0.4722682471100289,0.6348933813348102,0.4934046733730993,0.4844837736545783,0.4888948430025587,0.057214068125173,0.0606665203179812,0.0744303142624997,6 domains
69,scCube,sim4,sim4_2_Layer2_Layer1,stLearn,Layer2,Layer1,0.2270809635005439,0.3762695225752355,0.3792873284416633,0.5242315148158405,0.373411029359789,0.3791776364050584,0.3762695225752354,0.3559678759346441,0.0670671079092325,-0.0226273478173586,6 domains
70,scCube,sim4,sim4_3_Layer2_Layer3,BASS,Layer2,Layer3,0.4187493337184669,0.5851467618034498,0.5407309222899618,0.7255607864857381,0.5940190260248757,0.5765356294765738,0.5851467618034498,0.0202160066463583,0.0611531912511852,0.1258831084035826,6 domains
71,scCube,sim4,sim4_3_Layer2_Layer3,Banksy,Layer2,Layer3,0.489650916755547,0.6113606142281054,0.5927727248006308,0.7535308778731653,0.6343730981367477,0.589959283439061,0.6113606142281055,0.0479091664358903,0.0616500328546526,0.1125386359001947,6 domains
72,scCube,sim4,sim4_3_Layer2_Layer3,BayesSpace,Layer2,Layer3,0.4963338127847562,0.6514745247559853,0.6046594997849533,0.7615618942121296,0.6565388731786668,0.6464877080747131,0.6514745247559854,0.0451398504569371,0.0623913119254386,0.0808425518772694,6 domains
73,scCube,sim4,sim4_3_Layer2_Layer3,CCST,Layer2,Layer3,0.4782651256263396,0.6128478812771279,0.5931329738899802,0.7520908335641098,0.6129843051201451,0.612924445146912,0.6128478812771279,0.018277485461091,0.0611639240580366,0.092149870729706,6 domains
74,scCube,sim4,sim4_3_Layer2_Layer3,CellCharter,Layer2,Layer3,0.4000885923590863,0.548120994578735,0.5212063513792904,0.7075602326225423,0.5653855019215928,0.5318925099679641,0.548120994578735,0.0720022154527831,0.061847043816777,0.1344085734127452,6 domains
75,scCube,sim4,sim4_3_Layer2_Layer3,DeepST,Layer2,Layer3,0.6104289244659136,0.7139986199679251,0.6914098991748958,0.8525616172805318,0.730542291916483,0.6986025773220543,0.7139986199679251,0.0439213514261976,0.0609944162511237,0.0965921826695173,6 domains
