,Technology,Dataset,Sample,Method,train_sample,test_sample,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure
67,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.01spatial,CCST,Animal1_Bregma0.06,Animal1_Bregma0.01,0.10948638795709471,0.1629403242317829,0.3247268220951597,0.4464968152866241,0.15360478827181182,0.1735228646439753,0.1629403242317829
68,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.01spatial,CellCharter,Animal1_Bregma0.06,Animal1_Bregma0.01,0.2659894088514581,0.39987623766790137,0.40268538165018164,0.6239040839265643,0.43116477365693096,0.37290026118457886,0.3998762376679013
69,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.01spatial,DeepST,Animal1_Bregma0.06,Animal1_Bregma0.01,0.33909845638781383,0.44479799831328865,0.5714620278166093,0.6331584863244661,0.37806030254248063,0.5533870990082062,0.44479799831328865
70,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.01spatial,GraphST,Animal1_Bregma0.06,Animal1_Bregma0.01,0.11910100944113419,0.23936135513697127,0.3185100715541243,0.491007868115399,0.2378802775875259,0.24086099104623454,0.23936135513697127
71,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.01spatial,PRECAST,Animal1_Bregma0.06,Animal1_Bregma0.01,0.544705968276113,0.6702571133479522,0.6372983451769004,0.8716747845635069,0.7230625288297597,0.6246395496768817,0.6702571133479522
72,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.01spatial,SEDR,Animal1_Bregma0.06,Animal1_Bregma0.01,0.44563512382134834,0.5898473519145441,0.5629603179735242,0.761970775571375,0.6057234892665024,0.5752478461391952,0.5898473519145441
73,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.01spatial,STAGATE,Animal1_Bregma0.06,Animal1_Bregma0.01,0.23085658578197413,0.29249964292150155,0.3852494403549777,0.5683027351067815,0.3035633649572806,0.28232740324189176,0.29249964292150155
74,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.01spatial,SpaGCN,Animal1_Bregma0.06,Animal1_Bregma0.01,0.4910724670805691,0.6464654442394004,0.5924719984508479,0.8111652304233795,0.6793659930899779,0.616604336527586,0.6464654442394004
75,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.01spatial,SpaceFlow,Animal1_Bregma0.06,Animal1_Bregma0.01,0.12242446958168585,0.20411463046204553,0.2861739393825145,0.5045335331584864,0.21649362070044115,0.19311045497866922,0.20411463046204553
76,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.01spatial,SpatialMGCN,Animal1_Bregma0.06,Animal1_Bregma0.01,0.6277346751869387,0.7027605681780916,0.7043293510367915,0.8664293742974897,0.7387817177991232,0.6700887175196236,0.7027605681780917
77,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.01spatial,stLearn,Animal1_Bregma0.06,Animal1_Bregma0.01,0.5039070937104275,0.641700056656523,0.6024285181073397,0.8303484451105284,0.684910584341547,0.6039062568078281,0.641700056656523
78,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.06spatial,BASS,Animal1_Bregma0.06,Animal1_Bregma0.06,0.6249251857204301,0.7103229661983164,0.6925831675301946,0.8523301516002245,0.7344349935541903,0.6877438427948247,0.7103229661983163
79,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.06spatial,Banksy,Animal1_Bregma0.06,Animal1_Bregma0.06,0.5741444489960046,0.6898899737884487,0.663501180560667,0.7907916900617631,0.682823519415148,0.6974552819692781,0.6898899737884487
80,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.06spatial,CCST,Animal1_Bregma0.06,Animal1_Bregma0.06,0.106354560381173,0.16844447835911908,0.3466295861464863,0.41864121280179667,0.13959497839104595,0.21237254037729794,0.16844447835911908
81,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.06spatial,CellCharter,Animal1_Bregma0.06,Animal1_Bregma0.06,0.33693171496402297,0.4705899905080437,0.4503574804163614,0.6588807785888078,0.49428743026630667,0.44909459570177274,0.4705899905080437
82,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.06spatial,DeepST,Animal1_Bregma0.06,Animal1_Bregma0.06,0.33635340675207054,0.4800779029003759,0.5487448529128012,0.6431967059704287,0.4110543069953218,0.5769760110483293,0.4800779029003759
83,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.06spatial,GraphST,Animal1_Bregma0.06,Animal1_Bregma0.06,0.1259527875806302,0.2673707071232991,0.3445223089522861,0.5294778214486243,0.24881693396717122,0.2889144722270449,0.2673707071232991
84,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.06spatial,PRECAST,Animal1_Bregma0.06,Animal1_Bregma0.06,0.730327060005384,0.718769849178576,0.7799279901819772,0.865992887890698,0.7378460849942063,0.7006551460404447,0.7187698491785759
85,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.06spatial,SEDR,Animal1_Bregma0.06,Animal1_Bregma0.06,0.4504188268442905,0.5784485732583977,0.5571159949304421,0.7352049410443571,0.5843275157988156,0.5734132351387637,0.5784485732583977
86,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.06spatial,STAGATE,Animal1_Bregma0.06,Animal1_Bregma0.06,0.18019685876348485,0.2907088742060051,0.3319829414540205,0.5412315178738536,0.29499343739117767,0.2866072483854653,0.2907088742060051
87,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.06spatial,SpaGCN,Animal1_Bregma0.06,Animal1_Bregma0.06,0.4879282973051131,0.6433696783431897,0.5854653509470834,0.7435897435897436,0.6451292464828784,0.6416196824204515,0.6433696783431896
88,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.06spatial,SpaceFlow,Animal1_Bregma0.06,Animal1_Bregma0.06,0.10900084549770198,0.1935876031958459,0.25022831378327326,0.4726558113419427,0.20683686094948328,0.18193447582474115,0.1935876031958459
89,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.06spatial,SpatialMGCN,Animal1_Bregma0.06,Animal1_Bregma0.06,0.5883899755929581,0.7136497169510265,0.6995889028273449,0.7619314991577766,0.6703526846299318,0.762925909178938,0.7136497169510265
90,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.06spatial,stLearn,Animal1_Bregma0.06,Animal1_Bregma0.06,0.5703378215890993,0.6849414762780048,0.6468402434054755,0.8351862249672468,0.7153260453608664,0.6571688641943847,0.6849414762780048
91,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.11spatial,BASS,Animal1_Bregma0.06,Animal1_Bregma0.11,0.6883068719493941,0.7461599783931593,0.7486863097608507,0.9086785009861933,0.7931345493183156,0.7044385591370694,0.7461599783931592
92,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.11spatial,Banksy,Animal1_Bregma0.06,Animal1_Bregma0.11,0.514834059094284,0.6737067065617931,0.6185642640840989,0.7774358974358975,0.686791311697065,0.6615166761763103,0.6737067065617931
93,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.11spatial,CCST,Animal1_Bregma0.06,Animal1_Bregma0.11,0.10800346160335686,0.16089489977645144,0.3284418323924153,0.44946745562130175,0.1439102662612545,0.18246322397712872,0.16089489977645144
