,Technology,Dataset,Sample,Method,train_sample,test_sample,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure,Simulation
58,scCube,sim6,sim6_151670_151673,BayesSpace,151673,151670,0.44065166327434657,0.6021640633807349,0.6145429130191308,0.8277841561423651,0.6659225999240882,0.5495477937235189,0.6021640633807348,Add adjacent domain
59,scCube,sim6,sim6_151670_151673,CCST,151673,151670,0.4119739562407608,0.5208921036444375,0.601253775699227,0.7610792192881746,0.5467893381034743,0.49734773746177297,0.5208921036444375,Add adjacent domain
60,scCube,sim6,sim6_151670_151673,CellCharter,151673,151670,0.2527634934034452,0.45498989863836503,0.4658846417706627,0.7278989667049369,0.5158811851635605,0.4070754192418896,0.45498989863836503,Add adjacent domain
61,scCube,sim6,sim6_151670_151673,DeepST,151673,151670,0.430427418835163,0.6125163486519664,0.609789012984497,0.8160734787600459,0.6646856607800785,0.5681685578810659,0.6125163486519665,Add adjacent domain
62,scCube,sim6,sim6_151670_151673,GraphST,151673,151670,0.43410236888029435,0.6142287682986942,0.6104492724005236,0.8318025258323767,0.6730163070093405,0.5648863144365858,0.6142287682986942,Add adjacent domain
63,scCube,sim6,sim6_151670_151673,PRECAST,151673,151670,0.3453073809818019,0.4459574432795287,0.5403512722571131,0.7600459242250287,0.502273755652488,0.40099660326754316,0.4459574432795287,Add adjacent domain
64,scCube,sim6,sim6_151670_151673,SEDR,151673,151670,0.5083470561004383,0.6195519150404751,0.6657016624549109,0.8300803673938002,0.6814187678825383,0.5679891745732164,0.6195519150404751,Add adjacent domain
65,scCube,sim6,sim6_151670_151673,STAGATE,151673,151670,0.44174269329403015,0.6232673890729133,0.615334164905189,0.8355338691159586,0.6897520874608555,0.5684727389222319,0.6232673890729133,Add adjacent domain
66,scCube,sim6,sim6_151670_151673,SpaGCN,151673,151670,0.2448863294002858,0.456136237746947,0.45880473124316035,0.7571756601607348,0.5185526948558669,0.4071312125698408,0.456136237746947,Add adjacent domain
67,scCube,sim6,sim6_151670_151673,SpaceFlow,151673,151670,0.30309367203111204,0.5319364165891846,0.5115546305190745,0.760792192881745,0.5841205370348305,0.48919727320234,0.5319364165891846,Add adjacent domain
68,scCube,sim6,sim6_151670_151673,SpatialMGCN,151673,151670,0.2615321721794212,0.2718521643926164,0.4811176708509041,0.6409299655568312,0.3001142559748525,0.24845489225639011,0.2718521643926164,Add adjacent domain
69,scCube,sim6,sim6_151670_151673,stLearn,151673,151670,0.19248729653679658,0.30281655894562226,0.46754060286469395,0.67451205510907,0.2939254283196998,0.312290355393006,0.3028165589456223,Add adjacent domain
70,scCube,sim6,sim6_151670_151674,BASS,151674,151670,0.27564210852388676,0.5249785167432983,0.4866254047213003,0.769804822043628,0.590079115392519,0.4728150950354776,0.5249785167432983,Add adjacent domain
71,scCube,sim6,sim6_151670_151674,Banksy,151674,151670,0.3296249116134654,0.566685015777489,0.534052989743931,0.7978185993111366,0.6152254643525438,0.5258070981383808,0.566685015777489,Add adjacent domain
