,Technology,Dataset,Sample,Method,Tissue,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure,Time,Memory,PAS,CHAOS,ASW
96,10X,DLPFC,151509,SpaceFlow,Brain,0.47725272,0.639167989,0.593143922,0.748329156,0.675341431,0.6067765,0.639167989,42.19103565,473.880991,0.021345029,0.053517431,-0.015326547
97,10X,DLPFC,151509,SpatialMGCN,Brain,0.421521066,0.594597085,0.554495393,0.740392648,0.611617447,0.578498374,0.594597085,78.73891568,568.8859884,0.060568087,0.05373559,-0.063235547
98,10X,DLPFC,151509,stLearn,Brain,0.369619252,0.555670368,0.509731687,0.69924812,0.578715397,0.534390404,0.555670368,446.3255944,8270.126413,0.195071011,0.056440547,-0.07993021
99,10X,DLPFC,151510,BASS,Brain,0.439027221,0.618694942,0.562433345,0.773231774,0.659120104,0.582941941,0.618694942,1868.521486,2780.96,0.048531012,0.055969785,-0.023846364
100,10X,DLPFC,151510,Banksy,Brain,0.488526567,0.625449604,0.608781295,0.759303591,0.635875828,0.615359774,0.625449604,14.11133289,742.2147211,0.085963003,0.056781839,-0.066413752
101,10X,DLPFC,151510,BayesSpace,Brain,0.435543054,0.598596661,0.561096381,0.734711643,0.630514559,0.569754554,0.598596661,2257.251748,9018.5,0.041131665,0.055544111,-0.051604968
102,10X,DLPFC,151510,CCST,Brain,0.324783891,0.55809053,0.500147896,0.667986942,0.537295226,0.580829999,0.55809053,393.1231076,1829.592055,0.015364527,0.055257105,-0.103993362
103,10X,DLPFC,151510,CellCharter,Brain,0.387679794,0.584751628,0.51938749,0.729270947,0.629638449,0.545848667,0.584751628,230.7419476,387.3050104,0.09867247,0.056280898,0.000245567
104,10X,DLPFC,151510,DeepST,Brain,0.445321214,0.604578168,0.566826519,0.742285092,0.646927417,0.567440717,0.604578168,332.2561424,6349.14244,0.050924918,0.055436702,-0.012427471
105,10X,DLPFC,151510,GraphST,Brain,0.446971647,0.581276764,0.609350464,0.720130577,0.543544145,0.624638953,0.581276764,26.96737776,1285.705638,0.016539717,0.055195283,-0.140005718
106,10X,DLPFC,151510,PRECAST,Brain,0.495985584,0.605721192,0.619831803,0.711860718,0.591997605,0.620096154,0.605721192,42.2271699,1075.34,0.052448313,0.059286089,-0.008562899
107,10X,DLPFC,151510,SEDR,Brain,0.475125099,0.636203168,0.596972493,0.753384113,0.650090259,0.623404145,0.636203168,19.53246703,2251.92577,0.019151251,0.055204812,-0.03574992
108,10X,DLPFC,151510,STAGATE,Brain,0.434718054,0.57557774,0.560542095,0.729445049,0.605878781,0.548206893,0.57557774,61.87593684,430.0204575,0.067203482,0.056887961,-0.056292559
109,10X,DLPFC,151510,SpaGCN,Brain,0.419935803,0.555777129,0.54627274,0.702937976,0.593765524,0.522357342,0.555777129,74.54741826,1239.022662,0.163656148,0.057571339,-0.034175319
110,10X,DLPFC,151510,SpaceFlow,Brain,0.49587353,0.651354774,0.607885623,0.786724701,0.700954654,0.608323439,0.651354774,38.89592409,445.3067953,0.021545158,0.05515807,-0.022154636
111,10X,DLPFC,151510,SpatialMGCN,Brain,0.391572743,0.525402596,0.528176408,0.718389554,0.54721486,0.505262571,0.525402596,71.26229339,572.0044436,0.051577802,0.055781283,-0.004535657
112,10X,DLPFC,151510,stLearn,Brain,0.267465066,0.48440468,0.433378815,0.645048966,0.497215548,0.472237381,0.48440468,429.0387277,7830.74989,0.224591948,0.058019058,-0.096298401
113,10X,DLPFC,151669,BASS,Brain,0.410249442,0.593466803,0.601740748,0.817106711,0.667217951,0.534397055,0.593466803,1575.820362,2134.66,0.03520352,0.062602888,0.111563256
114,10X,DLPFC,151669,Banksy,Brain,0.387659608,0.58669295,0.587867935,0.818756876,0.646876548,0.536754776,0.58669295,12.18259525,620.4101772,0.035753575,0.06156949,0.1139828
115,10X,DLPFC,151669,BayesSpace,Brain,0.463377372,0.61276386,0.643306016,0.819031903,0.671834498,0.56324122,0.61276386,1776.315954,7797.74,0.022552255,0.061429434,0.094419931
