,Tech,Dataset,Sample,Method,Tissue,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure,Memory,Time
124,Slideseq,Human Lung,Puck_200727_10,PRECAST,Lung,0.152313059,0.26138122,0.343773841,0.659898477,0.333863217,0.214757235,0.26138122,1156.1,186.7276177
125,Slideseq,Human Lung,Puck_200727_10,SEDR,Lung,0.223534096,0.330855948,0.413739323,0.707028504,0.408286633,0.278127938,0.330855948,8427.792587,57.04864597
126,Slideseq,Human Lung,Puck_200727_10,STAGATE,Lung,0.212982953,0.323573303,0.405593065,0.709944032,0.397997078,0.272756377,0.323573303,253.1287743,157.7566249
127,Slideseq,Human Lung,Puck_200727_10,SpaGCN,Lung,0.218410624,0.345493489,0.408588139,0.741507224,0.423515883,0.291746386,0.345493489,5749.889334,855.9678967
128,Slideseq,Human Lung,Puck_200727_10,SpaceFlow,Lung,0.183355375,0.293333551,0.37220359,0.69304959,0.374401249,0.241147412,0.293333551,419.6846685,215.0403646
129,Slideseq,Human Lung,Puck_200727_10,SpatialMGCN,Lung,0.194238863,0.343083104,0.383309198,0.721528049,0.434149871,0.283596281,0.343083104,2325.136227,148.7860147
130,Slideseq,Human Lung,Puck_200727_10,stLearn,Lung,0.361858323,0.443245841,0.536607219,0.803345048,0.508636208,0.39287833,0.443245841,2455.542341,10.8234509
131,Slideseq,Human Lung,Puck_220408_13,BASS,Lung,0.246546648,0.284015233,0.468310988,0.678469304,0.306037389,0.264949707,0.284015233,10690.8,6084.361255
132,Slideseq,Human Lung,Puck_220408_13,Banksy,Lung,0.120821499,0.200019079,0.441937127,0.633712112,0.196198459,0.203991454,0.200019079,5099.91713,130.4838779
133,Slideseq,Human Lung,Puck_220408_13,CCST,Lung,0.173452403,0.166456033,0.388479566,0.605017779,0.189028285,0.148764062,0.166456033,109830.35,31824.24701
134,Slideseq,Human Lung,Puck_220408_13,CellCharter,Lung,0.106643612,0.156105907,0.312842432,0.605082428,0.189500367,0.132724639,0.156105907,233.1657537,1628.785762
135,Slideseq,Human Lung,Puck_220408_13,DeepST,Lung,0.153000935,0.21670511,0.411586874,0.612870179,0.212347045,0.223432845,0.21670511,58365.95579,4481.785244
136,Slideseq,Human Lung,Puck_220408_13,GraphST,Lung,0.187951578,0.173070537,0.408235553,0.628241788,0.197170985,0.154220035,0.173070537,50418.91219,186.1126101
137,Slideseq,Human Lung,Puck_220408_13,PRECAST,Lung,0.038687208,0.090432416,0.250469515,0.571570998,0.110039394,0.076755934,0.090432416,2750.9,462.6387026
138,Slideseq,Human Lung,Puck_220408_13,SEDR,Lung,0.198054985,0.229579368,0.413227498,0.639172489,0.259348625,0.206164015,0.229579368,46193.55122,229.1368067
139,Slideseq,Human Lung,Puck_220408_13,STAGATE,Lung,0.134999015,0.159909979,0.3833989,0.624084342,0.178762139,0.144723137,0.159909979,655.617634,484.0061913
140,Slideseq,Human Lung,Puck_220408_13,SpaGCN,Lung,0.081480346,0.179585076,0.288276146,0.60877241,0.219030717,0.152178901,0.179585076,31062.37391,4674.899056
141,Slideseq,Human Lung,Puck_220408_13,SpaceFlow,Lung,0.096322585,0.164950857,0.30220985,0.615132904,0.200887048,0.139923372,0.164950857,753.8884426,1049.570196
142,Slideseq,Human Lung,Puck_220408_13,SpatialMGCN,Lung,0.061894858,0.121320204,0.3000479,0.613250914,0.138691278,0.109884266,0.121320204,7474.184811,386.7297407
143,Slideseq,Human Lung,Puck_220408_13,stLearn,Lung,0.265290369,0.291811751,0.493965439,0.671084367,0.2903995,0.294222958,0.291811751,7530.125908,28.3716289
144,Slideseq,Human Lung,Puck_220408_14,BASS,Lung,0.108878395,0.238847551,0.293208411,0.560450383,0.254917559,0.224683499,0.238847551,10587.36,6393.0603
145,Slideseq,Human Lung,Puck_220408_14,Banksy,Lung,0.115590692,0.218927544,0.313925792,0.546741908,0.227361104,0.211097262,0.218927544,4821.989967,71.67715111
146,Slideseq,Human Lung,Puck_220408_14,CCST,Lung,0.1553552,0.166548308,0.321477468,0.509918015,0.179338242,0.15546164,0.166548308,95065.89985,27854.65301
147,Slideseq,Human Lung,Puck_220408_14,CellCharter,Lung,0.120991106,0.16351475,0.283415921,0.512665034,0.183038082,0.14775528,0.16351475,259.5041147,1619.143426
148,Slideseq,Human Lung,Puck_220408_14,DeepST,Lung,0.138326046,0.201123399,0.348485641,0.497966354,0.192961465,0.21290829,0.201123399,55057.32594,3717.11632
