,Technology,Dataset,Sample,Method,delta,lamda,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure
86,scCube,sim1,25_0.4,BayesSpace,25,0.4,0.1282083297380523,0.1984204535398985,0.4534616942030934,0.6329670329670329,0.1937557208128165,0.2033153371761845,0.1984204535398985
87,scCube,sim1,25_0.4,CCST,25,0.4,0.2299807089738735,0.1588351284598216,0.5238449796328686,0.5752380952380952,0.1459759526641968,0.1742018640567861,0.1588351284598216
88,scCube,sim1,25_0.4,CellCharter,25,0.4,0.2311941073935392,0.2314630763965753,0.4990967032359866,0.6301831501831502,0.2325304360978117,0.2311309405992271,0.2314630763965753
89,scCube,sim1,25_0.4,DeepST,25,0.4,0.1965338425149436,0.2571925078999016,0.4539049620081276,0.6416117216117216,0.2712685663854906,0.2445600323536551,0.2571925078999016
90,scCube,sim1,25_0.4,GraphST,25,0.4,0.1269334616230509,0.1777754533924808,0.4184839887136156,0.5831501831501832,0.1814958382735356,0.1742045291086396,0.1777754533924807
91,scCube,sim1,25_0.4,PRECAST,25,0.4,0.1465503565869082,0.2779319348782847,0.4191483380350018,0.6212454212454213,0.2924223499272358,0.2648098052332148,0.2779319348782846
92,scCube,sim1,25_0.4,SEDR,25,0.4,0.1542129097773194,0.1637771895682096,0.47521224708922,0.6095238095238095,0.1585497594855447,0.1697839630825577,0.1637771895682096
93,scCube,sim1,25_0.4,STAGATE,25,0.4,0.0580512018210242,0.1210322473787074,0.4332430126681801,0.5875457875457876,0.1144854634292377,0.1291782617414704,0.1210322473787074
94,scCube,sim1,25_0.4,SpaGCN,25,0.4,0.5482937662673021,0.50853472658755,0.6973440382333866,0.7926739926739926,0.5342983637755897,0.4851414162562328,0.50853472658755
95,scCube,sim1,25_0.4,SpatialMGCN,25,0.4,0.1440365458268782,0.2517588011018914,0.4676279854552504,0.6586080586080586,0.2445137413005531,0.2594463204068885,0.2517588011018913
96,scCube,sim1,25_0.4,SpaceFlow,25,0.4,0.2211694041799928,0.1534949248305979,0.4832497622633538,0.5913553113553114,0.1583516645219794,0.1489519121655974,0.1534949248305979
97,scCube,sim1,25_0.4,stLearn,25,0.4,0.5241754464541075,0.4691687979170409,0.6811444228005732,0.7775824175824176,0.4905795447394033,0.449571139670469,0.4691687979170409
98,scCube,sim1,25_0.6,BASS,25,0.6,0.4616659067117076,0.3565322895251091,0.6407241458032743,0.7494505494505495,0.3629081954261027,0.3503765511098655,0.3565322895251091
99,scCube,sim1,25_0.6,Banksy,25,0.6,0.2963092966861859,0.2448504097779544,0.5245526347510923,0.6627106227106226,0.2499116962261454,0.2400612288833733,0.2448504097779544
100,scCube,sim1,25_0.6,BayesSpace,25,0.6,0.1886537405964237,0.2903238590649877,0.4681564778460549,0.6857142857142857,0.2893503573352191,0.2913039334832327,0.2903238590649877
101,scCube,sim1,25_0.6,CCST,25,0.6,0.3835814682917757,0.3065683765204111,0.5826992380333504,0.7031501831501832,0.3155909804115118,0.2980513069653879,0.3065683765204111
102,scCube,sim1,25_0.6,CellCharter,25,0.6,0.3337269778510151,0.3078996146068531,0.5475624854786172,0.661098901098901,0.3162393479466,0.3001584983874099,0.3078996146068531
103,scCube,sim1,25_0.6,DeepST,25,0.6,0.2971619050916317,0.2758994361918331,0.5789116287322352,0.660952380952381,0.2803694889604856,0.4716845219554482,0.2758994361918331
104,scCube,sim1,25_0.6,GraphST,25,0.6,0.1360671424997092,0.2487443655217292,0.4424391973221702,0.638095238095238,0.2450509331759748,0.2525508371759432,0.2487443655217292
105,scCube,sim1,25_0.6,PRECAST,25,0.6,0.2043570533120897,0.3276255546055729,0.4550040357978725,0.6527472527472528,0.3393647847762641,0.3166713312655286,0.3276255546055729
106,scCube,sim1,25_0.6,SEDR,25,0.6,0.2999741532810768,0.3397845838798438,0.5364579237576917,0.6792673992673992,0.3428963893534232,0.3370969004513151,0.3397845838798438
107,scCube,sim1,25_0.6,STAGATE,25,0.6,0.2464487496632321,0.1889067962318736,0.5668812170584836,0.6397069597069598,0.1683956121668378,0.2154321415905867,0.1889067962318736
108,scCube,sim1,25_0.6,SpaGCN,25,0.6,0.6272915309338124,0.5411176729317381,0.7476665089227216,0.8227106227106227,0.5613341785116552,0.5223067442311645,0.541117672931738
109,scCube,sim1,25_0.6,SpatialMGCN,25,0.6,0.3845988658529229,0.4484608008678014,0.6120345069367003,0.6659340659340659,0.4192291823210857,0.4820744340845119,0.4484608008678014
110,scCube,sim1,25_0.6,SpaceFlow,25,0.6,0.2778386844760675,0.2600330732530992,0.5012320233001557,0.6331135531135531,0.2729442547802002,0.2482884736954042,0.2600330732530993
111,scCube,sim1,25_0.6,stLearn,25,0.6,0.5939495541894034,0.5096248121732688,0.7331983271448962,0.798974358974359,0.5181279825935652,0.5030738249893582,0.5096248121732688
112,scCube,sim1,25_0.8,BASS,25,0.8,0.6741346136625732,0.5764671198499925,0.7798178967206286,0.8615384615384617,0.5813421512155948,0.5716731708256174,0.5764671198499927
113,scCube,sim1,25_0.8,Banksy,25,0.8,0.3428278763168535,0.378475926669597,0.5378922768057723,0.7095970695970697,0.3971240158043957,0.3615197256597222,0.3784759266695969
114,scCube,sim1,25_0.8,BayesSpace,25,0.8,0.214975696596826,0.3669402859000377,0.4906989289874167,0.6989010989010989,0.3560760247518308,0.3784883717769521,0.3669402859000377
115,scCube,sim1,25_0.8,CCST,25,0.8,0.6140090572009179,0.5149318830981671,0.7388674186180817,0.8284249084249085,0.5197469051816922,0.5102056266737061,0.5149318830981671
116,scCube,sim1,25_0.8,CellCharter,25,0.8,0.5649597356217995,0.5189389813990853,0.7009707491903333,0.8068864468864468,0.5287070739539688,0.5097754990838383,0.5189389813990853
117,scCube,sim1,25_0.8,DeepST,25,0.8,0.3937771135365152,0.4590178116038174,0.577189924098485,0.7195604395604396,0.4771977752143739,0.4421807453817677,0.4590178116038174
118,scCube,sim1,25_0.8,GraphST,25,0.8,0.3849329371028079,0.4574976429440481,0.5659611087086857,0.7523809523809524,0.4832152658073479,0.4343791687719108,0.4574976429440481
119,scCube,sim1,25_0.8,PRECAST,25,0.8,0.2505716281595859,0.4148608718444252,0.4840922933586545,0.6791208791208792,0.4241749445346638,0.4059470489719764,0.4148608718444252
120,scCube,sim1,25_0.8,SEDR,25,0.8,0.6210989289243983,0.5115261150774227,0.7443541494435517,0.8273992673992675,0.5147448592638504,0.5083493563846209,0.5115261150774227
121,scCube,sim1,25_0.8,STAGATE,25,0.8,0.648513732018814,0.5498148164018881,0.7606168959814258,0.8454212454212454,0.5600693525363021,0.5399290374365875,0.549814816401888
122,scCube,sim1,25_0.8,SpaGCN,25,0.8,0.7253826270065548,0.6705139832483745,0.8123042051486541,0.8813186813186814,0.6874289558796384,0.6544114441102802,0.6705139832483746
123,scCube,sim1,25_0.8,SpatialMGCN,25,0.8,0.3370161734530587,0.4551000391796551,0.5690369899412827,0.6578754578754579,0.4349761047187502,0.4771763449536234,0.4551000391796551
124,scCube,sim1,25_0.8,SpaceFlow,25,0.8,0.6390904220029876,0.5403467283738093,0.7551914384376527,0.8438095238095238,0.5471512469310539,0.5337097482128539,0.5403467283738094
125,scCube,sim1,25_0.8,stLearn,25,0.8,0.7243174969109176,0.6403548477090731,0.8119005635301202,0.874871794871795,0.654616814642246,0.626701173126105,0.6403548477090731
126,scCube,sim1,25_1,BASS,25,1.0,0.937409063247302,0.8786343741025539,0.9568640408678024,0.9677655677655675,0.8770021864645633,0.8802726483930206,0.8786343741025536
127,scCube,sim1,25_1,Banksy,25,1.0,0.5423091893477318,0.6257208211953194,0.6757347277863432,0.7723076923076923,0.6394649166600321,0.6134980182014192,0.6257208211953194
128,scCube,sim1,25_1,BayesSpace,25,1.0,0.3003914794994957,0.4881654495984499,0.5280775991222582,0.7201465201465201,0.4768933557491007,0.4999833093315565,0.4881654495984499
129,scCube,sim1,25_1,CCST,25,1.0,0.8899465396232487,0.8209571358935459,0.9242735836306976,0.9488644688644688,0.8183959428907549,0.8235371329673873,0.8209571358935459
130,scCube,sim1,25_1,CellCharter,25,1.0,0.6817881937710328,0.7796858626618364,0.7741902544050626,0.8707692307692309,0.7992761826759278,0.7613431156941228,0.7796858626618363
131,scCube,sim1,25_1,DeepST,25,1.0,0.4392290918382892,0.527091140006168,0.6811363858051495,0.6807326007326008,0.4713362333768542,0.8334852231499085,0.527091140006168
132,scCube,sim1,25_1,GraphST,25,1.0,0.5348830227224735,0.6640529167780775,0.6687561323748098,0.8146520146520146,0.6877014779236129,0.6419767304509535,0.6640529167780775
133,scCube,sim1,25_1,PRECAST,25,1.0,0.3779772772550166,0.5307684392463619,0.5629431083390196,0.7274725274725274,0.5380093095213212,0.5237198851018012,0.530768439246362
134,scCube,sim1,25_1,SEDR,25,1.0,0.8767065536513554,0.8435216221195481,0.9151387457385466,0.9169230769230768,0.8416829582952751,0.845374617108859,0.8435216221195478
135,scCube,sim1,25_1,STAGATE,25,1.0,0.9358592594755248,0.8804532664671267,0.9557043226873944,0.9701098901098902,0.8808564835485567,0.8800504189037237,0.8804532664671267
136,scCube,sim1,25_1,SpaGCN,25,1.0,0.8568914972031344,0.8065397238487613,0.9004293971768578,0.9333333333333332,0.8149971445832376,0.798256029676727,0.8065397238487615
137,scCube,sim1,25_1,SpatialMGCN,25,1.0,0.4249380285283452,0.5137897741778268,0.6223786408431956,0.6864468864468865,0.4818166248985561,0.5503079811504525,0.5137897741778268
138,scCube,sim1,25_1,SpaceFlow,25,1.0,0.7973876743269477,0.7680674117811429,0.8589876726371493,0.9071062271062272,0.7723967876825308,0.7638098257196656,0.768067411781143
139,scCube,sim1,25_1,stLearn,25,1.0,0.8039574640030214,0.7246237485337135,0.8638900371208686,0.9018315018315018,0.7284527900233937,0.7208361506921106,0.7246237485337135
140,scCube,sim1,35_0.2,BASS,35,0.2,0.0801670988189481,0.1062227700576689,0.3634074464094398,0.5677655677655677,0.1162095658205481,0.097816623504609,0.1062227700576689
141,scCube,sim1,35_0.2,Banksy,35,0.2,0.1392581013737432,0.219479991331954,0.4368536262165858,0.5995604395604396,0.2286781879801327,0.2110290596957235,0.219479991331954
142,scCube,sim1,35_0.2,BayesSpace,35,0.2,0.098621279359227,0.2229759120578914,0.4615911124944542,0.6586080586080586,0.2132819006156693,0.2335931007895235,0.2229759120578914
143,scCube,sim1,35_0.2,CCST,35,0.2,0.0609418361773998,0.0600892112531781,0.3601940066368204,0.5465201465201465,0.0647769935867631,0.0560397409031579,0.0600892112531781
144,scCube,sim1,35_0.2,CellCharter,35,0.2,0.2633146614303408,0.285181304860751,0.5194095409965963,0.6634432234432235,0.2981462952490775,0.2735529095226126,0.2851813048607511
145,scCube,sim1,35_0.2,DeepST,35,0.2,0.1727063911671832,0.1396289931004063,0.5320259164947363,0.5976556776556776,0.1350882005141746,0.3445238878623807,0.1396289931004063
146,scCube,sim1,35_0.2,GraphST,35,0.2,0.0630907732456727,0.1234922967158425,0.4282157112808217,0.5736263736263736,0.1201317481060537,0.1270462712218708,0.1234922967158425
147,scCube,sim1,35_0.2,PRECAST,35,0.2,0.0970308090322643,0.2358156323365114,0.3957297140041348,0.5992673992673992,0.2494274409262972,0.223612597026195,0.2358156323365114
148,scCube,sim1,35_0.2,SEDR,35,0.2,0.1195146169112326,0.1956697103532519,0.4639869687791949,0.6464468864468864,0.191096023339893,0.2009424293571474,0.1956697103532519
149,scCube,sim1,35_0.2,STAGATE,35,0.2,0.0446561862385617,0.037769554811918,0.4832514823161942,0.5679120879120878,0.0322984540625747,0.0472884685273676,0.037769554811918
150,scCube,sim1,35_0.2,SpaGCN,35,0.2,0.4510594398167445,0.3986004608808823,0.6346037130246674,0.7230769230769231,0.4250475279176856,0.3752517580888146,0.3986004608808824
151,scCube,sim1,35_0.2,SpatialMGCN,35,0.2,0.2245695279589687,0.3479095936937273,0.527185945464658,0.613919413919414,0.3291255492913926,0.3689675223078114,0.3479095936937273
152,scCube,sim1,35_0.2,SpaceFlow,35,0.2,0.017106022762524,0.033287573874222,0.3208795680635686,0.5465201465201465,0.0362923379059786,0.0307426747831854,0.033287573874222
153,scCube,sim1,35_0.2,stLearn,35,0.2,0.4993888417468755,0.4033721799383579,0.669870425133744,0.7506227106227106,0.4259334120174888,0.3830900973150182,0.4033721799383579
154,scCube,sim1,35_0.4,BASS,35,0.4,0.1627202998886011,0.1193408523761394,0.5587865949506552,0.5728937728937729,0.0990399863354814,0.150109835420331,0.1193408523761394
155,scCube,sim1,35_0.4,Banksy,35,0.4,0.2038953200815548,0.3091823966247355,0.4571750291630504,0.665054945054945,0.3300604292306496,0.29083870660792,0.3091823966247355
156,scCube,sim1,35_0.4,BayesSpace,35,0.4,0.1196706945445443,0.2315846892542278,0.454563692252741,0.6622710622710622,0.2251468388785787,0.2384015447886765,0.2315846892542278
157,scCube,sim1,35_0.4,CCST,35,0.4,0.2167006152466638,0.1614983055137475,0.488656573896618,0.5983882783882783,0.1650560822611705,0.1581544610347007,0.1614983055137476
158,scCube,sim1,35_0.4,CellCharter,35,0.4,0.2488959749973343,0.221730723528127,0.5013913813654861,0.6361904761904762,0.2314777578240802,0.2129975168708567,0.221730723528127
159,scCube,sim1,35_0.4,DeepST,35,0.4,0.0231813657089623,0.0563273069958747,0.5650392537899971,0.5561904761904761,0.0585661481035573,0.8542533342508205,0.0563273069958747
160,scCube,sim1,35_0.4,GraphST,35,0.4,0.1287875447815494,0.2187441547672524,0.4147158383519727,0.621978021978022,0.2295478883341891,0.2089116703898335,0.2187441547672525
161,scCube,sim1,35_0.4,PRECAST,35,0.4,0.133380229627514,0.2607380273865531,0.4122761446223818,0.6183150183150183,0.2752352822742372,0.2476915615703155,0.2607380273865531
162,scCube,sim1,35_0.4,SEDR,35,0.4,0.2446430096791772,0.2616575154142432,0.5267483116465927,0.6707692307692308,0.2605308047532709,0.2634592840997608,0.2616575154142433
163,scCube,sim1,35_0.4,STAGATE,35,0.4,0.0950536865396924,0.0796638461040919,0.4445413025178433,0.5859340659340659,0.0760680803432071,0.0844129880073812,0.0796638461040919
164,scCube,sim1,35_0.4,SpaGCN,35,0.4,0.533167464343087,0.4846765241441317,0.6894826509161069,0.7860805860805861,0.5079033197455496,0.4634811856878529,0.4846765241441318
165,scCube,sim1,35_0.4,SpatialMGCN,35,0.4,0.0472402244641138,0.3044469886829329,0.3962416048248922,0.6153846153846154,0.3021394437236904,0.3067900519693505,0.3044469886829329
166,scCube,sim1,35_0.4,SpaceFlow,35,0.4,0.2021201093505535,0.1408163873860433,0.4744323848695845,0.5895970695970696,0.1454643328195207,0.1364861246108945,0.1408163873860433
167,scCube,sim1,35_0.4,stLearn,35,0.4,0.5553498217814241,0.4825621626887392,0.7036602423499783,0.7906227106227106,0.508134971251447,0.4594418731109727,0.4825621626887392
