,Rep,Technology,Dataset,Sample,Method,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure,Time,Memory,PAS,CHAOS,ASW
39,4,SRTsim,sim6,SRTsim_6_9,BASS,0.9033919251520951,0.8865056933895211,0.9276189763246565,0.9619834710743802,0.8863540006378496,0.8866574380722034,0.8865056933895211,753.3434998989105,943.9,0.015206611570247934,0.06431329244274353,0.15764744641425757
40,5,SRTsim,sim6,SRTsim_6_1,BASS,0.9991027157279241,0.9981759656718702,0.999327036894128,0.9996694214876033,0.9981758110528235,0.9981761202909648,0.9981759656718702,669.5859999656677,944.0,0.00033057851239669424,0.06299407883487033,0.1631059649955207
41,5,SRTsim,sim6,SRTsim_6_10,BASS,0.34243746647508044,0.4623799655643088,0.5759131877952735,0.548099173553719,0.3883546413706291,0.5712715801262813,0.4623799655643087,828.9502499103546,890.2,0.04528925619834711,0.06326742665048692,-0.05248477631821088
42,5,SRTsim,sim6,SRTsim_6_2,BASS,0.9991347962894188,0.9981847947491789,0.9993511028131642,0.9996694214876033,0.9981758110528232,0.9981937786072448,0.9981847947491789,766.1517498493195,944.0,0.00033057851239669424,0.06299407883487035,0.1628539129813086
43,5,SRTsim,sim6,SRTsim_6_3,BASS,0.9954642907440269,0.9916439604967273,0.9966011668455769,0.9983471074380166,0.9916595363821253,0.9916283851006189,0.9916439604967273,690.6417100429535,944.0,0.001322314049586777,0.06299407883487035,0.16303464414853952
44,5,SRTsim,sim6,SRTsim_6_4,BASS,0.9931005791886811,0.9877317870203164,0.9948252823272403,0.9973553719008265,0.9877646282835844,0.9876989479407928,0.9877317870203165,691.9710199832916,944.0,0.001652892561983471,0.06299407883487036,0.16278016318083482
45,5,SRTsim,sim6,SRTsim_6_5,BASS,0.9846754352451689,0.9752638131108662,0.9885177058241338,0.9943801652892562,0.9751767039120157,0.9753509378734403,0.9752638131108662,804.1525399684906,944.0,0.003305785123966942,0.06328562167906479,0.1624117661354814
46,5,SRTsim,sim6,SRTsim_6_6,BASS,0.9919582620214304,0.9860292936408791,0.9939686991542518,0.9970247933884298,0.9860288356264584,0.9860297516557253,0.986029293640879,689.9111099243164,944.0,0.001652892561983471,0.06299407883487036,0.16310897429060142
47,5,SRTsim,sim6,SRTsim_6_7,BASS,0.9737990298830763,0.9569885066301693,0.9803485677681609,0.9900826446280991,0.9570266585180304,0.9569503577840388,0.9569885066301694,717.6245000362396,944.1,0.00628099173553719,0.06391035634519576,0.16167745589896654
48,5,SRTsim,sim6,SRTsim_6_8,BASS,0.9638969505703666,0.9501988574594737,0.972919276494778,0.9861157024793389,0.9503342019587201,0.9500635515056675,0.9501988574594737,664.8375601768494,944.1,0.007603305785123967,0.06378700893306331,0.16129315475917413
49,5,SRTsim,sim6,SRTsim_6_9,BASS,0.9033919251520951,0.8865056933895211,0.9276189763246565,0.9619834710743802,0.8863540006378496,0.8866574380722034,0.8865056933895211,745.9987800121307,890.1,0.015206611570247934,0.06431329244274353,0.15764744641425757
50,1,SRTsim,sim6,SRTsim_6_1,BayesSpace,0.9910703093616577,0.9847433880737152,0.99330273592747,0.996694214876033,0.9847427779199242,0.9847439982282622,0.984743388073715,1796.277960062027,5989.8,0.003305785123966942,0.06427009792430366,0.1614855585994237
51,1,SRTsim,sim6,SRTsim_6_10,BayesSpace,0.27919995725853264,0.3089506482934995,0.5194532803502231,0.46479338842975204,0.2675067013161651,0.3655903823529085,0.30895064829349944,1733.025099992752,5989.3,0.1652892561983471,0.07124320222540109,0.0845504429526011
52,1,SRTsim,sim6,SRTsim_6_2,BayesSpace,0.7185696333560229,0.8448478356686766,0.8175606974261368,0.7636363636363637,0.7420069771084138,0.9807825703982072,0.8448478356686766,1622.349809885025,5989.3,0.003966942148760331,0.06323474925943709,0.2131103162246489
53,1,SRTsim,sim6,SRTsim_6_3,BayesSpace,0.9675151701378262,0.9566522279699095,0.9756571416348145,0.988099173553719,0.9566836195883819,0.956620838411473,0.9566522279699095,1606.8358898162842,5989.3,0.011900826446280991,0.06462297415289313,0.15723921206110428
54,1,SRTsim,sim6,SRTsim_6_4,BayesSpace,0.960977176875498,0.9441200306496581,0.9707324527276476,0.9847933884297521,0.9441353820697789,0.9441046797287502,0.9441200306496581,1720.9679200649261,5989.3,0.013553719008264463,0.0648787115771681,0.158832212016222
55,1,SRTsim,sim6,SRTsim_6_5,BayesSpace,0.9479960093073542,0.9267504239157941,0.9610309525952059,0.980495867768595,0.9267601299380313,0.9267407180968585,0.9267504239157941,1696.6161000728607,5989.3,0.019504132231404958,0.06502145684227767,0.15580011631674529
56,1,SRTsim,sim6,SRTsim_6_6,BayesSpace,0.938230171304306,0.9172587295653963,0.9536732707687184,0.9765289256198347,0.9172456723373267,0.9172717871652173,0.9172587295653964,1696.1537702083588,5989.3,0.02181818181818182,0.06531865671646406,0.15506377973403396
57,1,SRTsim,sim6,SRTsim_6_7,BayesSpace,0.68197767695063,0.7815757211572582,0.78947518450489,0.7401652892561984,0.6888469636380788,0.9031531948632259,0.7815757211572583,1657.4025502204895,5989.3,0.02115702479338843,0.06463347494044139,0.20654781292764762
58,1,SRTsim,sim6,SRTsim_6_8,BayesSpace,0.8502067792589518,0.8179498184869772,0.8876729759423293,0.9398347107438016,0.8178074648801609,0.8180922216606619,0.8179498184869773,1568.667720079422,5989.3,0.05057851239669422,0.0668126269070645,0.14451423473449884
59,1,SRTsim,sim6,SRTsim_6_9,BayesSpace,0.5449996980157694,0.576268754936625,0.6740663286607982,0.716694214876033,0.5482147667436869,0.6073488315467724,0.576268754936625,1828.5312402248383,5989.3,0.12231404958677686,0.06877517350061031,0.13400799369215013
60,2,SRTsim,sim6,SRTsim_6_1,BayesSpace,0.9910703093616577,0.9847433880737152,0.99330273592747,0.996694214876033,0.9847427779199242,0.9847439982282622,0.984743388073715,1635.8817100524902,5989.3,0.003305785123966942,0.06427009792430366,0.1614855585994237
61,2,SRTsim,sim6,SRTsim_6_10,BayesSpace,0.27919995725853264,0.3089506482934995,0.5194532803502231,0.46479338842975204,0.2675067013161651,0.3655903823529085,0.30895064829349944,1630.8917899131775,5989.3,0.1652892561983471,0.07124320222540109,0.0845504429526011
62,2,SRTsim,sim6,SRTsim_6_2,BayesSpace,0.7185696333560229,0.8448478356686766,0.8175606974261368,0.7636363636363637,0.7420069771084138,0.9807825703982072,0.8448478356686766,1724.118910074234,5989.3,0.003966942148760331,0.06323474925943709,0.2131103162246489
63,2,SRTsim,sim6,SRTsim_6_3,BayesSpace,0.9675151701378262,0.9566522279699095,0.9756571416348145,0.988099173553719,0.9566836195883819,0.956620838411473,0.9566522279699095,1722.1558201313019,5989.3,0.011900826446280991,0.06462297415289313,0.15723921206110428
64,2,SRTsim,sim6,SRTsim_6_4,BayesSpace,0.960977176875498,0.9441200306496581,0.9707324527276476,0.9847933884297521,0.9441353820697789,0.9441046797287502,0.9441200306496581,1436.5584399700165,5989.3,0.013553719008264463,0.0648787115771681,0.158832212016222
65,2,SRTsim,sim6,SRTsim_6_5,BayesSpace,0.9479960093073542,0.9267504239157941,0.9610309525952059,0.980495867768595,0.9267601299380313,0.9267407180968585,0.9267504239157941,1437.837520122528,5989.3,0.019504132231404958,0.06502145684227767,0.15580011631674529
66,2,SRTsim,sim6,SRTsim_6_6,BayesSpace,0.938230171304306,0.9172587295653963,0.9536732707687184,0.9765289256198347,0.9172456723373267,0.9172717871652173,0.9172587295653964,1439.794970035553,5989.3,0.02181818181818182,0.06531865671646406,0.15506377973403396
67,2,SRTsim,sim6,SRTsim_6_7,BayesSpace,0.68197767695063,0.7815757211572582,0.78947518450489,0.7401652892561984,0.6888469636380788,0.9031531948632259,0.7815757211572583,1437.1829900741577,5989.3,0.02115702479338843,0.06463347494044139,0.20654781292764762
68,2,SRTsim,sim6,SRTsim_6_8,BayesSpace,0.8502067792589518,0.8179498184869772,0.8876729759423293,0.9398347107438016,0.8178074648801609,0.8180922216606619,0.8179498184869773,1438.4279201030731,5989.3,0.05057851239669422,0.0668126269070645,0.14451423473449884
69,2,SRTsim,sim6,SRTsim_6_9,BayesSpace,0.5449996980157694,0.576268754936625,0.6740663286607982,0.716694214876033,0.5482147667436869,0.6073488315467724,0.576268754936625,1442.3987200260162,5989.3,0.12231404958677686,0.06877517350061031,0.13400799369215013
70,3,SRTsim,sim6,SRTsim_6_1,BayesSpace,0.9910703093616577,0.9847433880737152,0.99330273592747,0.996694214876033,0.9847427779199242,0.9847439982282622,0.984743388073715,1436.590919971466,5989.3,0.003305785123966942,0.06427009792430366,0.1614855585994237
71,3,SRTsim,sim6,SRTsim_6_10,BayesSpace,0.27919995725853264,0.3089506482934995,0.5194532803502231,0.46479338842975204,0.2675067013161651,0.3655903823529085,0.30895064829349944,1438.2048599720001,5989.3,0.1652892561983471,0.07124320222540109,0.0845504429526011
72,3,SRTsim,sim6,SRTsim_6_2,BayesSpace,0.7185696333560229,0.8448478356686766,0.8175606974261368,0.7636363636363637,0.7420069771084138,0.9807825703982072,0.8448478356686766,1434.8643498420715,5989.3,0.003966942148760331,0.06323474925943709,0.2131103162246489
73,3,SRTsim,sim6,SRTsim_6_3,BayesSpace,0.9675151701378262,0.9566522279699095,0.9756571416348145,0.988099173553719,0.9566836195883819,0.956620838411473,0.9566522279699095,1432.9775099754333,5989.3,0.011900826446280991,0.06462297415289313,0.15723921206110428
74,3,SRTsim,sim6,SRTsim_6_4,BayesSpace,0.960977176875498,0.9441200306496581,0.9707324527276476,0.9847933884297521,0.9441353820697789,0.9441046797287502,0.9441200306496581,1434.006259918213,5989.3,0.013553719008264463,0.0648787115771681,0.158832212016222
75,3,SRTsim,sim6,SRTsim_6_5,BayesSpace,0.9479960093073542,0.9267504239157941,0.9610309525952059,0.980495867768595,0.9267601299380313,0.9267407180968585,0.9267504239157941,1433.6293199062347,5989.3,0.019504132231404958,0.06502145684227767,0.15580011631674529
76,3,SRTsim,sim6,SRTsim_6_6,BayesSpace,0.938230171304306,0.9172587295653963,0.9536732707687184,0.9765289256198347,0.9172456723373267,0.9172717871652173,0.9172587295653964,1436.4770801067352,5989.3,0.02181818181818182,0.06531865671646406,0.15506377973403396
77,3,SRTsim,sim6,SRTsim_6_7,BayesSpace,0.68197767695063,0.7815757211572582,0.78947518450489,0.7401652892561984,0.6888469636380788,0.9031531948632259,0.7815757211572583,1434.5776598453522,5989.3,0.02115702479338843,0.06463347494044139,0.20654781292764762
78,3,SRTsim,sim6,SRTsim_6_8,BayesSpace,0.8502067792589518,0.8179498184869772,0.8876729759423293,0.9398347107438016,0.8178074648801609,0.8180922216606619,0.8179498184869773,1437.7876501083374,5989.3,0.05057851239669422,0.0668126269070645,0.14451423473449884
79,3,SRTsim,sim6,SRTsim_6_9,BayesSpace,0.5449996980157694,0.576268754936625,0.6740663286607982,0.716694214876033,0.5482147667436869,0.6073488315467724,0.576268754936625,1438.474620103836,5989.3,0.12231404958677686,0.06877517350061031,0.13400799369215013
80,4,SRTsim,sim6,SRTsim_6_1,BayesSpace,0.9910703093616577,0.9847433880737152,0.99330273592747,0.996694214876033,0.9847427779199242,0.9847439982282622,0.984743388073715,1428.064610004425,5989.3,0.003305785123966942,0.06427009792430366,0.1614855585994237
81,4,SRTsim,sim6,SRTsim_6_10,BayesSpace,0.27919995725853264,0.3089506482934995,0.5194532803502231,0.46479338842975204,0.2675067013161651,0.3655903823529085,0.30895064829349944,1437.4392402172089,5989.3,0.1652892561983471,0.07124320222540109,0.0845504429526011
82,4,SRTsim,sim6,SRTsim_6_2,BayesSpace,0.7185696333560229,0.8448478356686766,0.8175606974261368,0.7636363636363637,0.7420069771084138,0.9807825703982072,0.8448478356686766,1431.6771399974823,5989.3,0.003966942148760331,0.06323474925943709,0.2131103162246489
83,4,SRTsim,sim6,SRTsim_6_3,BayesSpace,0.9675151701378262,0.9566522279699095,0.9756571416348145,0.988099173553719,0.9566836195883819,0.956620838411473,0.9566522279699095,1430.671530008316,5989.3,0.011900826446280991,0.06462297415289313,0.15723921206110428
84,4,SRTsim,sim6,SRTsim_6_4,BayesSpace,0.960977176875498,0.9441200306496581,0.9707324527276476,0.9847933884297521,0.9441353820697789,0.9441046797287502,0.9441200306496581,1433.0450699329376,5989.3,0.013553719008264463,0.0648787115771681,0.158832212016222
85,4,SRTsim,sim6,SRTsim_6_5,BayesSpace,0.9479960093073542,0.9267504239157941,0.9610309525952059,0.980495867768595,0.9267601299380313,0.9267407180968585,0.9267504239157941,1431.1907999515533,5989.3,0.019504132231404958,0.06502145684227767,0.15580011631674529
86,4,SRTsim,sim6,SRTsim_6_6,BayesSpace,0.938230171304306,0.9172587295653963,0.9536732707687184,0.9765289256198347,0.9172456723373267,0.9172717871652173,0.9172587295653964,1435.4466202259064,5989.3,0.02181818181818182,0.06531865671646406,0.15506377973403396
87,4,SRTsim,sim6,SRTsim_6_7,BayesSpace,0.68197767695063,0.7815757211572582,0.78947518450489,0.7401652892561984,0.6888469636380788,0.9031531948632259,0.7815757211572583,1434.9012298583984,5989.3,0.02115702479338843,0.06463347494044139,0.20654781292764762
88,4,SRTsim,sim6,SRTsim_6_8,BayesSpace,0.8502067792589518,0.8179498184869772,0.8876729759423293,0.9398347107438016,0.8178074648801609,0.8180922216606619,0.8179498184869773,1436.2219099998474,5989.3,0.05057851239669422,0.0668126269070645,0.14451423473449884
89,4,SRTsim,sim6,SRTsim_6_9,BayesSpace,0.5449996980157694,0.576268754936625,0.6740663286607982,0.716694214876033,0.5482147667436869,0.6073488315467724,0.576268754936625,1435.7119998931885,5989.3,0.12231404958677686,0.06877517350061031,0.13400799369215013
